時間,設備,值
2024-10-12 13:4507,"SA-35/LED_LEVEL,7"
2024-10-12 13:4507,"SA-35/LED_LEVEL,7"
2024-10-12 14:2007,"SA-35/LED_LEVEL,7"
2024-10-12 14:2007,"SA-35/LED_LEVEL,7"
2024-10-12 16:1340,SA-35/LED_LEVEL,4
2024-10-12 16:1343,SA-35/LED_LEVEL,3
2024-10-12 16:1344,SA-35/LED_LEVEL,2
2024-10-12 16:1427,SA-35/LED_LEVEL,1
2024-10-12 21:5743,SA-35/LED_LEVEL,6
2024-10-12 21:5823,SA-35/LED_LEVEL,5
2024-10-12 21:5915,SA-35/LED_LEVEL,4
2024-10-12 22:1058,SA-35/LED_LEVEL,3
2024-10-12 22:1102,SA-35/LED_LEVEL,2
2024-10-12 22:1104,SA-35/LED_LEVEL,4
2024-10-12 22:1302,SA-35/LED_LEVEL,3
2024-10-12 22:1304,SA-35/LED_LEVEL,2
